name,std,dob,fname,address,ph
Sakthivel K.R 1,XII - C,30-10-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-79",7395922721
Sakthivel K.R 2,XII - C,31-10-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-80",7395922721
Sakthivel K.R 3,XII - C,01-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-81",7395922721
Sakthivel K.R 4,XII - C,02-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-82",7395922721
Sakthivel K.R 5,XII - C,03-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-83",7395922721
Sakthivel K.R 6,XII - C,04-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-84",7395922721
Sakthivel K.R 7,XII - C,05-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-85",7395922721
Sakthivel K.R 8,XII - C,06-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-86",7395922721
Sakthivel K.R 9,XII - C,07-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-87",7395922721
Sakthivel K.R 10,XII - C,08-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-88",7395922721
Sakthivel K.R 11,XII - C,09-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-89",7395922721
Sakthivel K.R 12,XII - C,10-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-90",7395922721
Sakthivel K.R 13,XII - C,11-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-91",7395922721
Sakthivel K.R 14,XII - C,12-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-92",7395922721
Sakthivel K.R 15,XII - C,13-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-93",7395922721
Sakthivel K.R 16,XII - C,14-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-94",7395922721
Sakthivel K.R 17,XII - C,15-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-95",7395922721
Sakthivel K.R 18,XII - C,16-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-96",7395922721
Sakthivel K.R 19,XII - C,17-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-97",7395922721
Sakthivel K.R 20,XII - C,18-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-98",7395922721
Sakthivel K.R 21,XII - C,19-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-99",7395922721
Sakthivel K.R 22,XII - C,20-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-100",7395922721
Sakthivel K.R 23,XII - C,21-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-101",7395922721
Sakthivel K.R 24,XII - C,22-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-102",7395922721
Sakthivel K.R 25,XII - C,23-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-103",7395922721
Sakthivel K.R 26,XII - C,24-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-104",7395922721
Sakthivel K.R 27,XII - C,25-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-105",7395922721
Sakthivel K.R 28,XII - C,26-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-106",7395922721
Sakthivel K.R 29,XII - C,27-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-107",7395922721
Sakthivel K.R 30,XII - C,28-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-108",7395922721
Sakthivel K.R 31,XII - C,29-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-109",7395922721
Sakthivel K.R 32,XII - C,30-11-2002,fathers name,"16, washermen ali lane st, sowcarpet, ch-110",7395922721
